id	name	host_id	host_name	neighbourhood_group	neighbourhood	latitude	longitude	room_type	price	minimum_nights	number_of_reviews	last_review	reviews_per_month	calculated_host_listings_count	availability_365
22618396	Spacious Brooklyn Bedroom with Natural Light	107978473	Trishia	Brooklyn	Greenpoint	40.73375	-73.9557	Private room	60	2	3	43270	0.23	1	0
28625897	"Near A/C/L/3 trains! Two comfy beds, good vibes."	97546900	Regina	Brooklyn	Brownsville	40.6676	-73.90954	Private room	75	2	33	43639	3.45	1	20
27915673	Brand New Cozy Apt Upper West Manhattan	45050275	Ada	Manhattan	Upper West Side	40.80098	-73.96025	Private room	99	1	45	43640	4.44	1	0
19472944	Charming 2 bed 2 bath with washing dryer	113805886	Yaacov	Manhattan	Upper East Side	40.77854	-73.94984	Entire home/apt	265	31	7	43635	0.3	33	345
9973900	Big and sunny room!	11095923	Tobias	Brooklyn	Flatbush	40.64722	-73.95987	Private room	32	10	3	42371	0.07	3	0
30908416	Sunny Greenpoint Apartment 5 Min Walk To Nassau G	25812202	Leah	Brooklyn	Greenpoint	40.72554	-73.94781	Private room	45	14	2	43641	0.32	1	21
4931807	Cozy & Quaint	25401356	Krystle	Manhattan	East Harlem	40.79717	-73.93298	Entire home/apt	125	2	7	42378	0.15	1	0
33710612	Fantastic new luxury single beach studio in NYC!	102588471	Cashmira	Queens	Arverne	40.59356	-73.79436	Entire home/apt	95	1	6	43648	2.2	1	35
24656571	Shared Apartment 1 stop from Manhattan	55724558	Taylor	Queens	Long Island City	40.76003	-73.94111	Shared room	35	5	11	43601	0.78	5	90
27222175	Private Bedroom in the Financial District	126897791	Allison	Manhattan	Financial District	40.70662	-74.00562	Private room	1700	120	0			1	0
32194564	Master Suite in Brownstone with Garden & Fire Pit!	39712384	Shanée & Ash	Brooklyn	Crown Heights	40.6732	-73.92146	Private room	110	3	7	43647	2.44	1	152
20173894	Lovely apartment in Brooklyn.	87988	Samantha	Brooklyn	Carroll Gardens	40.68201	-73.99535	Entire home/apt	120	3	2	43336	0.09	2	0
23535279	Cinema + gym included with room	35506555	Jermaine	Brooklyn	Bedford-Stuyvesant	40.68993	-73.95287	Private room	99	2	8	43409	0.53	2	179
4402805	LRG 2br BKLYN APT CLOSE TO TRAINS AND PARK	22807362	Jenny	Brooklyn	Prospect-Lefferts Gardens	40.66025	-73.9627	Entire home/apt	120	3	3	43340	0.05	1	16
34772058	"Entire home in Crown Heights, Brooklyn"	30873439	Margarita	Brooklyn	Crown Heights	40.66752	-73.95466	Entire home/apt	90	2	5	43638	5	1	22
2752977	Carroll Gardens townhouse	14081811	Linda	Brooklyn	Carroll Gardens	40.68009	-74.00009	Entire home/apt	325	4	12	43322	0.2	1	0
35115612	Quiet Manhattan Apartment	264495166	Jordania	Manhattan	Morningside Heights	40.8019	-73.95924	Private room	210	1	1	43636	1	3	86
6208855	Upper East Side - Private Room	32195844	Jiaying	Manhattan	Upper East Side	40.78428	-73.94872	Private room	85	4	1	42143	0.02	1	0
1981410	Spacious 1 bed near train!	6638763	Terry & Kristen	Queens	Ditmars Steinway	40.77906	-73.91265	Entire home/apt	135	3	38	43648	0.62	1	243
28312552	Cozy Ground Floor Garden Apt. Across from Park	7825587	Rosi	Brooklyn	Sunset Park	40.65064	-74.00595	Entire home/apt	100	5	12	43635	1.2	1	106
9998296	Beautiful Modern Large 1 Bedroom	36865981	Samantha	Brooklyn	Crown Heights	40.67665	-73.95534	Entire home/apt	115	3	1	42736	0.03	1	0
21632846	"Large, beautiful and elegant, clean studio舒适洁净的保证"	104401765	Linda	Queens	Flushing	40.76014	-73.82263	Entire home/apt	99	2	42	43646	2.56	1	5
31726939	"Terrific Tribeca 1BR, Gym, Roof deck, Indoor pool by Blueground"	107434423	Blueground	Manhattan	Tribeca	40.71494	-74.00676	Entire home/apt	349	30	0			232	310
28127126	Chez Jesse Vacation Spot	3191371	Jesse	Manhattan	East Harlem	40.80656	-73.93709	Private room	80	2	1	43647	1	3	181
29307957	Charming Creative Corner in Crown Heights	20976078	Amer	Brooklyn	Crown Heights	40.67516	-73.95416	Private room	90	1	10	43570	1.26	1	0
14246251	Doorman Gym 2 bed With balcony River View 5138	16098958	Jeremy & Laura	Manhattan	Murray Hill	40.74463	-73.9722	Entire home/apt	196	30	1	42674	0.03	96	280
1750248	"Priv room in 3 bdrm apt - Room ""A"""	9207223	Ryan	Manhattan	Harlem	40.80247	-73.94531	Private room	90	2	17	42248	0.24	3	177
7247763	Master bedroom in artsy Bushwick	2483508	Sarah	Brooklyn	Bushwick	40.70464	-73.91596	Private room	44	5	1	42212	0.02	1	0
36309780	LIC Family Apt w/ Plenty of Sleeping Space	143730512	Stephen	Queens	Long Island City	40.75419	-73.93445	Entire home/apt	350	2	0			1	312
15886369	Large bright and quiet room with private bathroom	10191995	Nora	Manhattan	Chinatown	40.71622	-73.9912	Private room	61	5	25	43650	0.79	2	20
35516704	SUPER BRIGHT & SPACIOUS BROOKLYN GEM	81127692	Rauf	Brooklyn	Flatbush	40.64434	-73.95288	Private room	50	3	0			2	311
5720988	Perfect Studio in the West Village	29664627	Luis	Manhattan	West Village	40.73271	-74.00545	Entire home/apt	200	2	8	42557	0.19	1	0
14548280	Comfy 1 bedroom in spacious lower east side apt	10013093	Shauna	Manhattan	East Village	40.72412	-73.98667	Private room	84	2	1	42610	0.03	1	0
13954028	Cozy Upper West Side Studio	6571805	Agata	Manhattan	Upper West Side	40.79301	-73.97544	Entire home/apt	124	2	28	43605	0.79	2	336
22088301	Williamsburg 3-Bed Townhouse w/ Garden by L Train	2496299	Dylan	Brooklyn	Williamsburg	40.71159	-73.94514	Entire home/apt	129	5	19	43645	1.03	1	295
14332210	Duplex in Manhattan 15min to Times Square	3767367	Regina	Manhattan	Upper East Side	40.78255	-73.95123	Private room	80	3	90	43643	2.53	3	323
9923887	Large (150sf) Sun-Drenched Room	17646340	Donald	Brooklyn	Williamsburg	40.70293	-73.94279	Private room	50	7	26	42586	0.63	2	0
20035612	Private Room in Central Harlem	59764159	Shakeria	Manhattan	Harlem	40.81254	-73.94204	Private room	55	3	1	42971	0.04	1	0
4375146	Beautiful & spacious apartment	22715031	Fernando	Queens	Astoria	40.76575	-73.92092	Private room	75	5	1	41953	0.02	1	0
23271736	Cozy Brooklyn Heights Apartment!	47151333	Walter	Brooklyn	Brooklyn Heights	40.69061	-73.99264	Entire home/apt	113	3	4	43555	0.25	2	0
19032635	Bright & Spacious Upper Manhattan Apartment!	49193707	Devyn	Manhattan	Washington Heights	40.84977	-73.93536	Private room	60	5	16	43603	0.65	1	0
31974197	"Cosy room in Brooklyn, 20 minutes to Manhattan"	65631015	Sonia	Brooklyn	Bedford-Stuyvesant	40.69043	-73.95587	Private room	75	2	2	43554	0.42	1	33
22064879	"Bright, spacious, classic Manhattan apartment"	13285212	Alex	Manhattan	Upper East Side	40.77775	-73.94957	Entire home/apt	200	5	0			1	0
3080233	1BR UNFURN SUBLET in Williamsburg	15674437	Benjamin	Brooklyn	Williamsburg	40.70789	-73.94632	Entire home/apt	220	29	4	41866	0.07	1	0
31575274	Spacious 2BR Apt Heart of Bushwick + Backyard	234214434	Mike	Brooklyn	Bushwick	40.70016	-73.93042	Entire home/apt	145	30	6	43649	1.64	4	224
34616078	靠近机场交通方便双人房#3	107272884	Lynn L	Queens	Richmond Hill	40.69587	-73.84798	Private room	45	1	2	43623	1.4	4	176
15975039	NYC/ ✰ Prime Williamsburg ✰  w/ Private Patio	5179523	Max	Brooklyn	Williamsburg	40.71169	-73.95827	Private room	91	1	13	43628	0.55	3	85
22122614	Spacious Family Space - 2 Bedrooms	161617875	Tyge	Manhattan	Washington Heights	40.85244	-73.9405	Entire home/apt	150	2	30	43632	1.61	2	109
33072686	Prime Location One Bed Doorman Gym Deck!5223	16098958	Jeremy & Laura	Manhattan	Hell's Kitchen	40.76291	-73.9875	Entire home/apt	250	30	0			96	303
14316284	Lovely One Bedroom West Village	1483451	Pipi	Manhattan	West Village	40.72921	-74.00345	Entire home/apt	240	5	52	43639	1.54	1	271
19910558	"Plant-filled, sunny Clinton Hill studio"	2505262	Jerome	Brooklyn	Clinton Hill	40.68432	-73.96376	Entire home/apt	83	14	0			1	0
13091737	Charming one BR apartment in heart of Nolita/SoHo	72677655	Christina	Manhattan	Nolita	40.72153	-73.99493	Entire home/apt	126	2	11	42689	0.29	1	0
33492744	Cozy Studio in the Heart of Spanish Harlem	19392723	Pablo	Manhattan	East Harlem	40.79463	-73.94604	Entire home/apt	100	2	2	43573	0.7	1	8
35797061	Affordable Midtown East 2 bedrooms/2 bathrooms	269264973	Dima	Manhattan	Midtown	40.75903	-73.96669	Entire home/apt	199	7	0			1	134
5021376	Easily accessible cozy room! R202	17638424	Sophie	Queens	Elmhurst	40.74602	-73.87338	Private room	34	1	95	43648	2.37	8	175
15355844	"Big East Village bedroom, heart of Manhattan"	32707981	Ben	Manhattan	East Village	40.72396	-73.98941	Private room	120	2	5	42834	0.16	4	0
8988997	Beautiful Furnished 1 Bedroom NYC Apartment	30283594	Kara	Manhattan	Chelsea	40.74569	-73.99183	Entire home/apt	129	30	0			121	164
22001233	NYC Gallery	12927770	Anton	Manhattan	Upper East Side	40.77995	-73.95621	Entire home/apt	150	3	0			1	0
36424129	Bright & Cheerful! Modern w/ Laundry + Fast WiFi	107407045	Brett & Megan	Brooklyn	Bedford-Stuyvesant	40.69217	-73.93191	Private room	35	30	0			1	44
5672615	Room in Big Duplex and Backyard!	2423554	Mark	Brooklyn	Crown Heights	40.67531	-73.94967	Private room	50	4	15	43609	0.32	1	324
33664163	A Living Room	199833548	Syeda	Queens	Briarwood	40.70579	-73.81001	Shared room	30	1	10	43627	4.05	9	361
5424042	4 Bedroom Apt On Kissena Park in NYC	23234988	Ann	Queens	Flushing	40.75077	-73.80676	Entire home/apt	259	1	72	43605	1.37	6	257
16349311	"Amazing location, East Village full 3BR apartment"	32707981	Ben	Manhattan	East Village	40.72357	-73.98797	Entire home/apt	400	2	0			4	0
21190746	Large Split Level Room in Greenpoint Loft	6429030	Joshua	Brooklyn	Greenpoint	40.7257	-73.95606	Private room	100	1	2	43101	0.11	1	0
7774519	Bushwick Sunny Private Room	1503022	Regard	Brooklyn	Bushwick	40.69866	-73.92498	Private room	53	14	0			1	0
6165564	Large room in newly renovated apt	30906910	Yuriy	Brooklyn	Bedford-Stuyvesant	40.6874	-73.94339	Private room	750	1	0			1	0
22361885	Cozy Room in East Village	52243881	Andrea	Manhattan	East Village	40.72318	-73.98342	Private room	65	1	1	43092	0.05	2	0
15535864	Sleek 1BR + private bath in beautiful brownstone	59909443	Kobby	Brooklyn	Bedford-Stuyvesant	40.67764	-73.92241	Private room	75	3	5	43352	0.15	1	145
1140826	Private room/bedroom in Park Slope/Gowanus BK	6256118	Katie	Brooklyn	Gowanus	40.67173	-73.98968	Private room	49	1	9	42966	0.19	1	98
21862155	Kingsize bedroom in Harlem brownstone	8637211	Judie And Steven	Manhattan	Harlem	40.81919	-73.94554	Private room	89	1	105	43647	5.33	4	84
35468369	4BR/3BA Triplex w/ Patio (Empire State Building!)	266364277	Emilia & Jonathan	Manhattan	Kips Bay	40.74337	-73.97726	Entire home/apt	850	3	0			1	19
28298437	Grande chambre lumineuse à bushwick	14430349	Marie	Brooklyn	Bushwick	40.69469	-73.90786	Private room	75	2	10	43535	1.05	1	0
30510107	Brooklyn Designer Home!! Private Bedroom/Bathroom	5977578	Agate	Brooklyn	Crown Heights	40.67902	-73.96042	Private room	45	2	0			2	100
26554732	"Beautiful NYC Private Room/Bath, Late Check-In OK"	191338162	William	Bronx	Allerton	40.86017	-73.86198	Private room	142	1	36	43648	3.5	5	57
27283564	"Spacious Bedroom in Ridgewood, Queens 3R-1"	205530337	Nina	Queens	Ridgewood	40.70161	-73.90556	Private room	45	30	0			8	312
998423	Great space minutes from Manhattan!	2765234	Casey	Queens	Astoria	40.7603	-73.91395	Private room	75	4	19	43580	0.52	1	10
13859196	Cozy Room In the Heart of Astoria	28003040	Adrian	Queens	Astoria	40.76249	-73.91176	Private room	30	2	56	43009	1.57	1	0
33592068	Bay parkway Private room	51596474	Antony	Brooklyn	Bensonhurst	40.6062	-73.98995	Private room	35	1	7	43606	2.44	12	0
36454025	Private 5 star room	261338177	Diana	Brooklyn	Gravesend	40.59131	-73.97114	Private room	33	2	0			6	318
3946177	"A Safe & Pleasant Time in NYC, 2"	20438402	Geoff & Aurelia	Manhattan	East Harlem	40.7948	-73.93457	Entire home/apt	264	3	38	43374	0.65	3	0
28752251	Sun-filled Apartment in Great Location	9165739	Jesse	Manhattan	Chelsea	40.74184	-74.00108	Private room	91	1	10	43646	1.09	1	0
26255895	Furnished room w/ AC in Crown Heights/Clinton Hill	9478555	Alex	Brooklyn	Crown Heights	40.67911	-73.96012	Private room	35	2	2	43286	0.16	1	0
25895122	Beautifully decorated duplex with an amazing yard!	4580765	Grace	Brooklyn	Crown Heights	40.67367	-73.9223	Entire home/apt	300	3	33	43653	2.56	1	292
35282577	Springfield Room rental	264043510	Ken	Queens	Springfield Gardens	40.66277	-73.76336	Private room	50	1	2	43628	2	6	365
28160221	Upscale Living. Home Away from Home.	205594323	Ade	Queens	Springfield Gardens	40.6675	-73.75245	Entire home/apt	185	2	30	43646	2.9	1	146
23500071	"The Perfect Brooklyn Apt, Bushwick/Williamsburg"	84503565	Jason	Brooklyn	Bushwick	40.70333	-73.92933	Private room	100	1	2	43599	0.13	2	20
22192417	Modern 1 Bed in the Heart of Midtown Manhattan	162153544	Kendrick	Manhattan	Murray Hill	40.75048	-73.97776	Entire home/apt	277	3	70	43646	3.66	1	75
21788734	Beautiful large room in Morningside Heights	26095943	Finola	Manhattan	Morningside Heights	40.80423	-73.96515	Private room	60	10	0			1	2
34601499	Sun-drenched private room in 1BR Harlem apt	53638710	Kay	Manhattan	Harlem	40.823	-73.93966	Private room	49	2	1	43612	0.7	1	23
7664789	Cozy room in the heart of Astoria/10 min Manhattan	433207	Maryann	Queens	Astoria	40.76205	-73.91379	Private room	45	1	190	43653	5.2	2	132
36134580	COSY 2BR APARTMENT IN LOWER EAST SIDE	55814811	Doni	Manhattan	Lower East Side	40.71989	-73.98459	Entire home/apt	198	3	0			1	5
15107136	GAMBA Z's Artist Residency for Traveling Artists	19187413	Melissa	Brooklyn	Williamsburg	40.70547	-73.93747	Private room	60	20	0			2	363
34566798	Great bright room in Brooklyn	259427246	Nelly	Brooklyn	Bedford-Stuyvesant	40.67853	-73.92697	Private room	43	2	1	43618	0.79	3	341
15732778	"Huge space across from park, easy to Manhattan"	3398280	Megan	Brooklyn	Prospect-Lefferts Gardens	40.65776	-73.96174	Private room	65	20	3	43585	0.39	1	35
9575790	Entire Spacious Apt: LIMITED DATES	43632142	Michael	Queens	Astoria	40.76275	-73.92052	Entire home/apt	150	3	0			1	220
14683983	RATED ★★★★★ IN THIS 2 BEDROOM PRESIDENTIAL SUITE	64065593	ResortShare5	Manhattan	Midtown	40.75294	-73.9733	Entire home/apt	672	2	23	43600	0.87	13	268
33833596	Convenient & Cozy Upper West Side 2 Beds Apartment	40629507	Ceive	Manhattan	Upper West Side	40.80238	-73.96737	Entire home/apt	140	1	8	43632	4.36	1	0
31377252	Huge Apartment in TriBeCa	7029525	Sagar	Manhattan	Tribeca	40.71509	-74.00779	Entire home/apt	400	3	1	43513	0.21	1	0
14215061	Cozy Room in Astoria	75480489	Ramazan	Queens	Ditmars Steinway	40.7708	-73.90036	Private room	70	3	23	43467	0.66	1	365
16164264	**Cozy Room In Hip Ultra Location LES/NOLITA**	105511610	Laura	Manhattan	Lower East Side	40.71916	-73.99229	Private room	98	2	76	43640	2.42	1	46
19527492	"Huge Apartment Near Subway, Quiet and Sunny!"	2988712	Sasha	Bronx	Claremont Village	40.83625	-73.91079	Entire home/apt	127	90	4	43446	0.19	7	250
3832932	Beautiful Sunset Park	15192022	Kaykay	Brooklyn	Sunset Park	40.64752	-74.0059	Shared room	65	2	7	42868	0.12	1	0
